1 	 -19.766712987612287 
2 	 -19.436929181346244 
3 	 -19.56995379502555 
4 	 -19.70690060017749 
5 	 -19.766712987612287 
6 	 -19.436929181346244 
7 	 -19.540388053561532 
8 	 -19.71753068441253 
9 	 -19.505060063055986 
10 	 -19.77798588167011 
11 	 -19.742827816187983 
12 	 -19.536483600374595 
13 	 -19.674437818634335 
14 	 -19.612783071144687 
15 	 -19.536483600374595 
16 	 -19.742827816187983 
17 	 -19.612783071144687 
18 	 -19.674437818634335 
19 	 -19.436929181346244 
20 	 -19.766712987612287 
21 	 -19.612783071144687 
22 	 -19.674437818634335 
23 	 -19.766712987612287 
24 	 -19.436929181346244 
25 	 -19.730953715304565 
26 	 -19.56795172100646 
27 	 -19.49870020681165 
28 	 -19.74561886469525 
29 	 -19.69007343933415 
30 	 -19.59504859073581 
31 	 -19.507053636080013 
32 	 -19.781325146287596 
33 	 -19.766712987612287 
34 	 -19.436929181346244 
35 	 -19.733385808787308 
36 	 -19.567349723971358 
37 	 -19.730577236403537 
38 	 -19.520408594092387 
39 	 -19.494339373726593 
40 	 -19.74636415992656 
41 	 -19.70690060017749 
42 	 -19.56995379502555 
43 	 -19.674437818634335 
44 	 -19.612783071144687 
45 	 -19.742827816187983 
46 	 -19.536483600374595 
47 	 -19.49870020681165 
48 	 -19.74561886469525 
49 	 -19.70690060017749 
50 	 -19.56995379502555 
51 	 -19.71753068441253 
52 	 -19.540388053561532 
53 	 -19.838067653280213 
54 	 -19.741727718701995 
55 	 -19.79851677922396 
56 	 -19.878023036693975 
57 	 -19.88920532685522 
58 	 -19.83234276849387 
59 	 -19.88339199508411 
60 	 -19.855151682575993 
61 	 -19.937153494289795 
62 	 -19.86010211898614 
63 	 -19.957232500700343 
64 	 -19.87851731845188 
65 	 -19.89111898443402 
66 	 -19.99929976372896 
67 	 -19.93242792251433 
68 	 -20.03811104342236 
69 	 -19.956389141493798 
70 	 -20.091502961690495 
71 	 -20.0092145629567 
72 	 -20.152564179956414 
73 	 -20.08309791844162 
74 	 -20.203088512725323 
75 	 -20.24420983734339 
76 	 -20.12441895560888 
77 	 -20.154975703447885 
78 	 -20.28209960247596 
79 	 -20.30382654990028 
80 	 -20.19699037829168 
81 	 -20.28636146318667 
82 	 -20.290329338576335 
83 	 -20.241030661860215 
84 	 -20.308408131899913 
85 	 -20.292083648100203 
86 	 -20.28067171461916 
87 	 -20.267048952816523 
88 	 -20.328979792176163 
89 	 -20.276799842915846 
90 	 -20.297920988313958 
91 	 -20.303913678925543 
92 	 -20.283841310162497 
93 	 -20.303814486568605 
94 	 -20.322106865347532 
95 	 -20.282922969715425 
96 	 -20.328045101323053 
97 	 -20.308837048819207 
98 	 -20.31176918849684 
99 	 -20.31342202568319 
100 	 -20.309054727942428 
101 	 -20.310871826841982 
102 	 -20.297183943667882 
103 	 -20.2916927443718 
104 	 -20.32366340880744 
105 	 -20.308732894626672 
106 	 -20.328421774506467 
107 	 -20.322424719928023 
108 	 -20.311684689191306 
109 	 -20.32437952539303 
110 	 -20.297553214449092 
111 	 -20.32902059111869 
112 	 -20.300068856119214 
113 	 -20.289115321307087 
114 	 -20.31035535984365 
115 	 -20.30290638492431 
116 	 -20.306495965393236 
117 	 -20.322509435680917 
118 	 -20.31630794335687 
119 	 -20.302982500248902 
120 	 -20.326818680550186 
121 	 -20.304380970461686 
122 	 -20.331509690665992 
123 	 -20.31094969098958 
124 	 -20.31823229833752 
125 	 -20.30571049093655 
126 	 -20.33819214358568 
127 	 -20.318531443528855 
128 	 -20.3336628391259 
129 	 -20.344323132566302 
130 	 -20.306522339361514 
131 	 -20.313564390025412 
132 	 -20.348850520911945 
133 	 -20.324194238005276 
134 	 -20.338884194146466 
135 	 -20.32037210757967 
136 	 -20.345414630528424 
137 	 -20.33129364861711 
138 	 -20.32128942755065 
139 	 -20.315153378420234 
140 	 -20.345108724511004 
141 	 -20.31794338378453 
142 	 -20.345019031042444 
143 	 -20.349931661139813 
144 	 -20.316710834066534 
145 	 -20.34185449764219 
146 	 -20.297979212459687 
147 	 -20.34206592221036 
148 	 -20.329056277218285 
149 	 -20.31981535616856 
150 	 -20.344983427543585 
151 	 -20.340600010585543 
152 	 -20.332737270137272 
153 	 -20.333967446824875 
154 	 -20.34802750205441 
155 	 -20.34458644373797 
156 	 -20.32296669781826 
157 	 -20.35385388789774 
158 	 -20.33143694610692 
159 	 -20.354114357977156 
160 	 -20.3328577053489 
161 	 -20.33844917872895 
162 	 -20.326434269343345 
163 	 -20.347120968064605 
164 	 -20.325739740663106 
165 	 -20.335836469041208 
166 	 -20.33603165955156 
167 	 -20.326170327710955 
168 	 -20.364788009066572 
169 	 -20.33338319842875 
170 	 -20.350573515734403 
171 	 -20.32916800082635 
172 	 -20.36675619354253 
173 	 -20.345493090103556 
174 	 -20.349358236983644 
175 	 -20.343400356584127 
176 	 -20.356105746717706 
177 	 -20.36397376957419 
178 	 -20.329580079837747 
179 	 -20.361923469270888 
180 	 -20.342336342789277 
181 	 -20.3671024773221 
182 	 -20.337928230181458 
183 	 -20.34087820633289 
184 	 -20.356628398345205 
185 	 -20.33924876171731 
186 	 -20.359843990130997 
187 	 -20.365454094129998 
188 	 -20.336153632132078 
189 	 -20.3604348421256 
190 	 -20.344029011258346 
191 	 -20.336003841112976 
192 	 -20.363044044081718 
193 	 -20.347205642998343 
194 	 -20.35776986427722 
195 	 -20.366474404852404 
196 	 -20.349473844662583 
197 	 -20.33831206848382 
198 	 -20.363812236716996 
199 	 -20.359837967998743 
200 	 -20.326859531098357 
