Qubit Map of the M-scheme states 
No. of Qubits = 12 
Qubit	n	l	j	  jz 
   5	6	9	11		0.185226 
   7	8	1	2		0.211083 
   7	8	1	8		0.048733 
   7	8	1	10		0.106691 
   7	8	3	9		-0.422555 
   7	8	3	11		0.184794 
   7	8	2	7		-0.119553 
   7	8	0	5		0.154248 
   7	8	5	6		0.138734 
   7	8	7	8		0.164257 
   7	8	7	10		0.165671 
   7	8	9	11		-0.117147 
   7	10	1	2		-0.188774 
   7	10	1	8		-0.057792 
   7	10	1	10		-0.099613 
   7	10	3	9		0.148005 
   7	10	3	11		-0.172534 
   7	10	2	7		-0.113728 
   7	10	0	5		-0.187435 
   7	10	5	6		-0.261949 
   7	10	7	8		0.165671 
   7	10	7	10		-0.138300 
   7	10	9	11		0.384242 
   9	11	1	2		0.133483 
   9	11	1	8		0.210605 
   9	11	1	10		0.070437 
   9	11	3	9		-0.071989 
   9	11	3	11		0.122000 
   9	11	2	7		-0.081272 
   9	11	0	5		0.043076 
   9	11	5	6		0.185226 
   9	11	7	8		-0.117147 
   9	11	7	10		0.384242 
   9	11	9	11		0.133400 
   1	0	1	0		-0.201650 
   1	0	1	6		-0.163685 
   1	0	3	2		0.447550 
   1	0	3	8		0.066824 
   1	0	3	10		-0.296600 
   1	0	2	9		0.066824 
   1	0	2	11		-0.296600 
   1	0	0	7		-0.163685 
   1	0	5	4		-0.558527 
   1	0	7	6		0.300005 
   1	0	9	8		-0.170743 
   1	0	9	10		-0.115600 
   1	0	8	11		0.115600 
   1	0	11	10		-0.859347 
   1	6	1	0		-0.163685 
   1	6	1	6		0.285047 
   1	6	3	2		-0.163685 
   1	6	3	8		-0.112953 
   1	6	3	10		-0.178107 
   1	6	2	9		-0.086156 
   1	6	2	11		-0.160651 
   1	6	0	7		-0.081533 
   1	6	5	4		-0.341488 
   1	6	7	6		-0.146378 
   1	6	9	8		0.195110 
   1	6	9	10		-0.057792 
   1	6	8	11		0.217824 
   3	2	1	0		0.447550 
   3	2	1	6		-0.163685 
   3	2	3	2		-0.201650 
   3	2	3	8		0.066824 
   3	2	3	10		-0.296600 
   3	2	2	9		0.066824 
   3	2	2	11		-0.296600 
   3	2	0	7		-0.163685 
   3	2	5	4		0.127656 
   3	2	7	6		-0.386179 
   3	2	9	8		0.515440 
   3	2	9	10		-0.115600 
   3	2	8	11		0.115600 
   3	2	11	10		0.859347 
   3	8	1	0		0.066824 
   3	8	1	6		-0.112953 
   3	8	3	2		0.066824 
   3	8	3	8		0.087303 
   3	8	3	10		0.079838 
   3	8	2	9		-0.290217 
   3	8	2	11		0.058459 
   3	8	0	7		-0.086156 
   3	8	5	4		0.059722 
   3	8	7	6		-0.179312 
   3	8	9	8		-0.239033 
   3	8	9	10		0.121593 
   3	8	8	11		0.009073 
   3	10	1	0		-0.296600 
   3	10	1	6		-0.178107 
   3	10	3	2		-0.296600 
   3	10	3	8		0.079838 
   3	10	3	10		0.150650 
   3	10	2	9		0.058459 
   3	10	2	11		-0.364350 
   3	10	0	7		-0.160651 
   3	10	5	4		-0.217781 
   3	10	7	6		-0.043556 
   3	10	9	8		0.174225 
   3	10	9	10		-0.122000 
   3	10	8	11		0.122000 
